Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,95,2446,2541,Ngaputaw,MMR017004
 Rural,135,34700,34835,Ngaputaw,MMR017004
 Total,230,37146,37376,Ngaputaw,MMR017004
