Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,526,8611,9137,Maubin,MMR017019
 Rural,264,62403,62667,Maubin,MMR017019
 Total,790,71014,71804,Maubin,MMR017019
