Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,14,53,67,Makman,MMR015024
 Rural,6,3245,3251,Makman,MMR015024
 Total,20,3298,3318,Makman,MMR015024
