Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,41,2446,2487,Tamoenye(ST),MMR015011
 Rural,50,10512,10562,Tamoenye(ST),MMR015011
 Total,91,12958,13049,Tamoenye(ST),MMR015011
