Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,129,4486,4615,Minbya,MMR012005
 Rural,124,31889,32013,Minbya,MMR012005
 Total,253,36375,36628,Minbya,MMR012005
