Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,184,7090,7274,Myauk U,MMR012003
 Rural,159,34092,34251,Myauk U,MMR012003
 Total,343,41182,41525,Myauk U,MMR012003
