Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,1663,22300,23963,Meiktila,MMR010028
 Rural,593,43883,44476,Meiktila,MMR010028
 Total,2256,66183,68439,Meiktila,MMR010028
