Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total,Township,MIMU_code
 Male,42,7,3,3,3,1,4,3,2,2,1,-,1,2,5,6,1,2,7,8,3,7,8,6,4,11,10,5,9,10,17,10,5,14,5,10,14,9,14,10,9,16,15,15,10,15,19,10,9,10,5,8,8,10,8,12,7,9,9,8,12,10,12,14,12,14,9,5,7,4,8,7,7,11,2,8,7,8,11,9,5,7,5,5,6,5,4,4,9,3,14,740,Myitkyina,MMR001001
 Female,35,4,4,1,4,1,-,1,-,1,1,2,-,-,2,2,1,1,2,2,2,-,1,2,1,1,1,3,1,1,3,2,6,3,3,8,5,2,4,-,5,3,7,4,5,3,4,6,4,6,4,6,8,8,3,3,9,9,12,4,5,4,7,6,7,19,2,10,11,5,8,9,4,9,7,12,15,6,3,3,8,3,3,5,8,5,5,10,7,6,37,475,Myitkyina,MMR001001
 Total,77,11,7,4,7,2,4,4,2,3,2,2,1,2,7,8,2,3,9,10,5,7,9,8,5,12,11,8,10,11,20,12,11,17,8,18,19,11,18,10,14,19,22,19,15,18,23,16,13,16,9,14,16,18,11,15,16,18,21,12,17,14,19,20,19,33,11,15,18,9,16,16,11,20,9,20,22,14,14,12,13,10,8,10,14,10,9,14,16,9,51,1215,Myitkyina,MMR001001
 Male,40,-,1,-,2,1,-,-,-,-,3,2,1,2,1,3,-,5,5,2,4,3,6,2,2,5,5,3,2,7,2,-,6,5,8,2,5,10,4,3,3,3,7,5,3,2,4,6,6,3,6,3,4,5,3,3,6,4,7,3,5,4,1,9,3,2,5,3,4,-,7,1,2,4,2,4,3,3,-,-,9,3,3,4,3,1,-,2,1,-,4,330,Waingmaw,MMR001002
 Female,27,6,1,2,-,1,1,-,-,-,1,-,2,-,1,-,1,-,1,1,1,-,1,1,-,1,-,-,2,3,2,2,2,1,1,2,1,-,2,2,2,-,-,-,-,2,1,5,-,1,5,-,1,3,2,4,1,1,1,3,2,3,4,4,-,-,3,4,-,2,5,-,4,1,2,5,6,-,10,1,5,2,6,4,1,4,3,3,5,2,9,201,Waingmaw,MMR001002
 Total,67,6,2,2,2,2,1,-,-,-,4,2,3,2,2,3,1,5,6,3,5,3,7,3,2,6,5,3,4,10,4,2,8,6,9,4,6,10,6,5,5,3,7,5,3,4,5,11,6,4,11,3,5,8,5,7,7,5,8,6,7,7,5,13,3,2,8,7,4,2,12,1,6,5,4,9,9,3,10,1,14,5,9,8,4,5,3,5,6,2,13,531,Waingmaw,MMR001002
 Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,Ingyanyan,MMR001003
 Female,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,Ingyanyan,MMR001003
 Total,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,Ingyanyan,MMR001003
 Male,14,2,1,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,1,1,-,-,1,2,-,1,2,-,1,-,1,-,-,2,1,-,1,1,-,1,1,1,-,-,1,3,-,2,2,1,1,2,1,3,1,-,1,3,3,-,-,1,2,3,-,1,1,-,-,-,3,1,1,-,1,3,-,-,3,1,-,-,-,1,-,-,-,-,-,-,2,87,Tanaing,MMR001004
