Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total,Township,MIMU_code
 Male,7,1,-,1,1,1,-,1,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,2,1,2,-,1,-,2,3,1,1,-,-,2,1,1,3,-,-,1,2,1,6,1,-,1,2,-,-,1,-,-,-,-,-,3,1,4,2,-,3,1,-,-,1,-,-,-,3,1,-,-,-,1,2,1,-,-,-,1,2,-,-,1,78,Dekkhinathiri,MMR018004
 Female,3,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,1,-,1,1,-,3,29,Dekkhinathiri,MMR018004
 Total,10,1,1,1,1,2,-,1,1,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,1,1,-,2,1,2,-,1,1,2,3,2,2,-,-,2,1,1,4,-,-,2,2,1,6,1,-,1,2,1,1,1,-,-,-,1,-,4,3,4,3,-,3,2,-,-,1,-,-,-,3,1,-,-,1,1,2,2,1,-,1,1,3,1,-,4,107,Dekkhinathiri,MMR018004
 Male,9524,1767,718,642,476,387,402,352,342,293,273,231,278,326,365,354,380,451,590,542,605,544,650,692,603,840,777,859,1060,1084,1381,1173,1426,1443,1409,1875,1665,1548,1842,1548,1922,1515,2200,1842,1852,2333,1959,1874,2156,1657,2076,1681,2096,2043,1906,2220,2306,1892,2096,1763,2514,1635,2126,2106,2071,2303,2219,1990,1844,1282,2214,1315,1891,1987,1742,2931,2065,1663,2289,1244,2037,1426,1510,1608,1562,1483,1195,922,817,581,2989,136667,Dekkhinathiri,MMR018004
 Female,7155,1468,629,584,468,369,278,310,229,223,240,225,207,258,258,249,243,298,358,340,387,334,383,324,335,460,343,382,461,399,574,418,505,518,474,730,564,539,675,535,808,567,897,699,738,957,809,738,991,781,1069,818,1108,1152,1004,1229,1303,1037,1319,1060,1589,1064,1415,1400,1484,1693,1519,1516,1516,1020,1818,1050,1648,1731,1679,2787,2046,1467,2415,1210,2414,1588,1848,1972,1834,1927,1652,1201,1137,878,4970,96301,Dekkhinathiri,MMR018004
 Total,16679,3235,1347,1226,944,756,680,662,571,516,513,456,485,584,623,603,623,749,948,882,992,878,1033,1016,938,1300,1120,1241,1521,1483,1955,1591,1931,1961,1883,2605,2229,2087,2517,2083,2730,2082,3097,2541,2590,3290,2768,2612,3147,2438,3145,2499,3204,3195,2910,3449,3609,2929,3415,2823,4103,2699,3541,3506,3555,3996,3738,3506,3360,2302,4032,2365,3539,3718,3421,5718,4111,3130,4704,2454,4451,3014,3358,3580,3396,3410,2847,2123,1954,1459,7959,232968,Dekkhinathiri,MMR018004
