Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,10,843,853,Minemaw,MMR015008
 Rural,21,9571,9592,Minemaw,MMR015008
 Total,31,10414,10445,Minemaw,MMR015008
