Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,4720,4720,Thazi,MMR010030
 Rural,102,40070,40172,Thazi,MMR010030
 Total,102,44790,44892,Thazi,MMR010030
