Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,872,873,Talay(ST),MMR016009
 Rural,2,3143,3145,Talay(ST),MMR016009
 Total,3,4015,4018,Talay(ST),MMR016009
