Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,332,7251,7583,Mawlamyinegyun,MMR017018
 Rural,10780,56523,67303,Mawlamyinegyun,MMR017018
 Total,11112,63774,74886,Mawlamyinegyun,MMR017018
