Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,72,1403,1475,Kyeintali(ST),MMR012017
 Rural,156,4450,4606,Kyeintali(ST),MMR012017
 Total,228,5853,6081,Kyeintali(ST),MMR012017
