Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,4840,4841,Nanhsam(South),MMR014013
 Rural,9,14013,14022,Nanhsam(South),MMR014013
 Total,10,18853,18863,Nanhsam(South),MMR014013
