Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,3577,3578,Ingapu,MMR017013
 Rural,377,53274,53651,Ingapu,MMR017013
 Total,378,56851,57229,Ingapu,MMR017013
