Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,156,58355,58511,Shwepyitha,MMR013007
 Rural,2,15262,15264,Shwepyitha,MMR013007
 Total,158,73617,73775,Shwepyitha,MMR013007
