Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,1333,1333,Minepyin,MMR016007
 Rural,21,9251,9272,Minepyin,MMR016007
 Total,21,10584,10605,Minepyin,MMR016007
