Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,2649,2649,Hsihseng,MMR014004
 Rural,273,29849,30122,Hsihseng,MMR014004
 Total,273,32498,32771,Hsihseng,MMR014004
