Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,99,2947,3046,Einme,MMR017015
 Rural,1956,41453,43409,Einme,MMR017015
 Total,2055,44400,46455,Einme,MMR017015
