Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,1768,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,-,2775,2775,Pansai(KyuKute)(ST),MMR015009
 Total,-,4543,4543,Pansai(KyuKute)(ST),MMR015009
