Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,2487,2487,Tamoenye(ST),MMR015011
 Rural,4,10558,10562,Tamoenye(ST),MMR015011
 Total,4,13045,13049,Tamoenye(ST),MMR015011
