Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,979,979,Naungtayar(ST),MMR014009
 Rural,3,15597,15600,Naungtayar(ST),MMR014009
 Total,3,16576,16579,Naungtayar(ST),MMR014009
