Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,31,1709,1740,Thapaung,MMR017003
 Rural,2565,32932,35497,Thapaung,MMR017003
 Total,2596,34641,37237,Thapaung,MMR017003
