Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,252,76732,76984,Dagon Myothit(South),MMR013018
 Total,252,76732,76984,Dagon Myothit(South),MMR013018
