Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,24,2032,2056,Htantabin,MMR013006
 Rural,1659,30496,32155,Htantabin,MMR013006
 Total,1683,32528,34211,Htantabin,MMR013006
