Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,24,2207,2231,Kawhmu,MMR013028
 Rural,1400,26161,27561,Kawhmu,MMR013028
 Total,1424,28368,29792,Kawhmu,MMR013028
