Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,1747,1748,Kholan(ST),MMR014013
 Rural,-,2616,2616,Kholan(ST),MMR014013
 Total,1,4363,4364,Kholan(ST),MMR014013
