Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,60,1597,1657,Ngazun,MMR010021
 Rural,219,25962,26181,Ngazun,MMR010021
 Total,279,27559,27838,Ngazun,MMR010021
