Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,55,18654,18709,Thanlyin,MMR013023
 Rural,403,42485,42888,Thanlyin,MMR013023
 Total,458,61139,61597,Thanlyin,MMR013023
