Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,9,18888,18897,Myingyan,MMR010017
 Rural,457,42986,43443,Myingyan,MMR010017
 Total,466,61874,62340,Myingyan,MMR010017
