Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,61,1449,1510,Yethedaung,MMR012008
 Rural,635,22196,22831,Yethedaung,MMR012008
 Total,696,23645,24341,Yethedaung,MMR012008
