Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,14,24708,24722,Zabuthiri,MMR018002
 Rural,1,1597,1598,Zabuthiri,MMR018002
 Total,15,26305,26320,Zabuthiri,MMR018002
