Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,132,4483,4615,Minbya,MMR012005
 Rural,1507,30506,32013,Minbya,MMR012005
 Total,1639,34989,36628,Minbya,MMR012005
