Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,4,766,770,Laymyethna,MMR017010
 Rural,251,25223,25474,Laymyethna,MMR017010
 Total,255,25989,26244,Laymyethna,MMR017010
