Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,25,5155,5180,Danubyu,MMR017022
 Rural,1479,38138,39617,Danubyu,MMR017022
 Total,1504,43293,44797,Danubyu,MMR017022
