Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,142,11573,11715,Thanbyuzayat,MMR011004
 Rural,243,24276,24519,Thanbyuzayat,MMR011004
 Total,385,35849,36234,Thanbyuzayat,MMR011004
