Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,50,3381,3431,Phekon,MMR014010
 Rural,101,16552,16653,Phekon,MMR014010
 Total,151,19933,20084,Phekon,MMR014010
