Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,3,1557,1560,Minelar,MMR016005
 Rural,2,3646,3648,Minelar,MMR016005
 Total,5,5203,5208,Minelar,MMR016005
