Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,2,1921,1923,Theinni,MMR015002
 Rural,2,9854,9856,Theinni,MMR015002
 Total,4,11775,11779,Theinni,MMR015002
