Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,558,558,Minekat,MMR016002
 Rural,17,7450,7467,Minekat,MMR016002
 Total,17,8008,8025,Minekat,MMR016002
