Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,421,37020,37441,Pathein,MMR017001
 Rural,1537,27058,28595,Pathein,MMR017001
 Total,1958,64078,66036,Pathein,MMR017001
