Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,21,5881,5902,Paung,MMR011008
 Rural,1208,36616,37824,Paung,MMR011008
 Total,1229,42497,43726,Paung,MMR011008
