Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,5,13329,13334,MuSe,MMR015009
 Rural,25,8855,8880,MuSe,MMR015009
 Total,30,22184,22214,MuSe,MMR015009
