Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,7,31888,31895,Dagon Myothit(East),MMR013020
 Rural,54,1964,2018,Dagon Myothit(East),MMR013020
 Total,61,33852,33913,Dagon Myothit(East),MMR013020
