Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,40,1777,1817,Kyarinseikkyi,MMR003007
 Rural,355,19868,20223,Kyarinseikkyi,MMR003007
 Total,395,21645,22040,Kyarinseikkyi,MMR003007
 Urban,5,6091,6096,Payarthonezu(ST),MMR003007
 Rural,78,11621,11699,Payarthonezu(ST),MMR003007
 Total,83,17712,17795,Payarthonezu(ST),MMR003007
 Urban,28,652,680,Kyaidon(ST),MMR003007
 Rural,85,9968,10053,Kyaidon(ST),MMR003007
 Total,113,10620,10733,Kyaidon(ST),MMR003007
 Urban,4,5217,5221,HaKa,MMR004002
 Rural,5,4691,4696,HaKa,MMR004002
 Total,9,9908,9917,HaKa,MMR004002
 Urban,5,1502,1507,Thantlang,MMR004003
 Rural,27,8248,8275,Thantlang,MMR004003
 Total,32,9750,9782,Thantlang,MMR004003
 Urban,2,2000,2002,Falam,MMR004001
 Rural,9,6417,6426,Falam,MMR004001
 Total,11,8417,8428,Falam,MMR004001
 Urban,1,2249,2250,Tedim,MMR004004
 Rural,60,12373,12433,Tedim,MMR004004
 Total,61,14622,14683,Tedim,MMR004004
 Urban,-,640,640,Tonzaung,MMR004005
 Rural,2,2769,2771,Tonzaung,MMR004005
 Total,2,3409,3411,Tonzaung,MMR004005
 Urban,1,669,670,Rihkhuadal(ST),MMR004001
 Rural,-,528,528,Rihkhuadal(ST),MMR004001
 Total,1,1197,1198,Rihkhuadal(ST),MMR004001
 Urban,-,215,215,Cikha(ST),MMR004005
 Rural,-,1315,1315,Cikha(ST),MMR004005
 Total,-,1530,1530,Cikha(ST),MMR004005
 Urban,2,2341,2343,Mindat,MMR004006
 Rural,-,6179,6179,Mindat,MMR004006
 Total,2,8520,8522,Mindat,MMR004006
 Urban,1,1669,1670,Matupi,MMR004007
 Rural,8,5958,5966,Matupi,MMR004007
 Total,9,7627,7636,Matupi,MMR004007
 Urban,-,807,807,Kanpalet,MMR004008
 Rural,-,3170,3170,Kanpalet,MMR004008
 Total,-,3977,3977,Kanpalet,MMR004008
 Urban,91,1259,1350,Paletwat,MMR004009
 Rural,602,11341,11943,Paletwat,MMR004009
 Total,693,12600,13293,Paletwat,MMR004009
 Urban,-,462,462,Reazu(ST),MMR004007
 Rural,1,2058,2059,Reazu(ST),MMR004007
 Total,1,2520,2521,Reazu(ST),MMR004007
 Urban,37,596,633,Sami(ST),MMR004009
 Rural,370,5220,5590,Sami(ST),MMR004009
 Total,407,5816,6223,Sami(ST),MMR004009
 Urban,39,16457,16496,Sagaing,MMR005001
 Rural,688,47959,48647,Sagaing,MMR005001
 Total,727,64416,65143,Sagaing,MMR005001
 Urban,12,3619,3631,Myinmu,MMR005002
 Rural,73,21600,21673,Myinmu,MMR005002
 Total,85,25219,25304,Myinmu,MMR005002
 Urban,5,1948,1953,Myaung,MMR005003
 Rural,598,21711,22309,Myaung,MMR005003
 Total,603,23659,24262,Myaung,MMR005003
 Urban,6,13525,13531,Shwebo,MMR005004
 Rural,42,36674,36716,Shwebo,MMR005004
 Total,48,50199,50247,Shwebo,MMR005004
 Urban,-,2291,2291,Khin U,MMR005005
 Rural,203,30130,30333,Khin U,MMR005005
 Total,203,32421,32624,Khin U,MMR005005
 Urban,-,2306,2306,Wetlet,MMR005006
 Rural,406,44000,44406,Wetlet,MMR005006
 Total,406,46306,46712,Wetlet,MMR005006
 Urban,4,5179,5183,Kambalu,MMR005007
 Rural,236,55907,56143,Kambalu,MMR005007
 Total,240,61086,61326,Kambalu,MMR005007
 Urban,13,2486,2499,Kyunhlau,MMR005008
 Rural,269,18095,18364,Kyunhlau,MMR005008
 Total,282,20581,20863,Kyunhlau,MMR005008
 Urban,2,3963,3965,Ye U,MMR005009
 Rural,8,22400,22408,Ye U,MMR005009
 Total,10,26363,26373,Ye U,MMR005009
 Urban,1,954,955,Depayin,MMR005010
 Rural,13,29377,29390,Depayin,MMR005010
 Total,14,30331,30345,Depayin,MMR005010
 Urban,1,2971,2972,Tasei,MMR005011
 Rural,32,32933,32965,Tasei,MMR005011
 Total,33,35904,35937,Tasei,MMR005011
 Urban,122,2184,2306,Kyaukmyaung(ST),MMR005004
 Rural,252,4492,4744,Kyaukmyaung(ST),MMR005004
 Total,374,6676,7050,Kyaukmyaung(ST),MMR005004
 Urban,268,40138,40406,Monywa,MMR005012
 Rural,125,35431,35556,Monywa,MMR005012
 Total,393,75569,75962,Monywa,MMR005012
 Urban,-,1193,1193,Butalin,MMR005013
 Rural,151,27272,27423,Butalin,MMR005013
 Total,151,28465,28616,Butalin,MMR005013
 Urban,3,2152,2155,Ayartaw,MMR005014
 Rural,57,33379,33436,Ayartaw,MMR005014
 Total,60,35531,35591,Ayartaw,MMR005014
 Urban,3,5078,5081,Chaung Oo,MMR005015
 Rural,67,18228,18295,Chaung Oo,MMR005015
 Total,70,23306,23376,Chaung Oo,MMR005015
 Urban,127,5136,5263,Katha,MMR005020
 Rural,2874,23824,26698,Katha,MMR005020
 Total,3001,28960,31961,Katha,MMR005020
 Urban,3,1839,1842,Indaw,MMR005021
 Rural,66,21322,21388,Indaw,MMR005021
 Total,69,23161,23230,Indaw,MMR005021
 Urban,103,2967,3070,Tigyaing,MMR005022
 Rural,1381,21938,23319,Tigyaing,MMR005022
 Total,1484,24905,26389,Tigyaing,MMR005022
 Urban,1,1211,1212,Banmauk,MMR005023
 Rural,101,17555,17656,Banmauk,MMR005023
 Total,102,18766,18868,Banmauk,MMR005023
 Urban,1,4568,4569,Kawlin,MMR005024
 Rural,196,26638,26834,Kawlin,MMR005024
 Total,197,31206,31403,Kawlin,MMR005024
 Urban,-,2590,2590,Wuntho,MMR005025
 Rural,5,11610,11615,Wuntho,MMR005025
 Total,5,14200,14205,Wuntho,MMR005025
 Urban,7,1462,1469,Pinlebu,MMR005026
 Rural,58,20373,20431,Pinlebu,MMR005026
 Total,65,21835,21900,Pinlebu,MMR005026
 Urban,17,25704,25721,Kalay,MMR014005
 Rural,159,46889,47048,Kalay,MMR014005
 Total,176,72593,72769,Kalay,MMR014005
 Urban,45,1908,1953,Kalewa,MMR005028
 Rural,532,9250,9782,Kalewa,MMR005028
 Total,577,11158,11735,Kalewa,MMR005028
 Urban,25,811,836,Mingin,MMR005029
 Rural,900,20322,21222,Mingin,MMR005029
 Total,925,21133,22058,Mingin,MMR005029
 Urban,4,8985,8989,Tamu,MMR005030
 Rural,20,2977,2997,Tamu,MMR005030
 Total,24,11962,11986,Tamu,MMR005030
 Urban,-,308,308,Myothit(ST),MMR005030
 Rural,5,2784,2789,Myothit(ST),MMR005030
 Total,5,3092,3097,Myothit(ST),MMR005030
 Urban,1,2837,2838,Khampat(ST),MMR005030
 Rural,12,4658,4670,Khampat(ST),MMR005030
 Total,13,7495,7508,Khampat(ST),MMR005030
 Urban,83,1741,1824,Mawlaik,MMR005031
 Rural,736,7785,8521,Mawlaik,MMR005031
 Total,819,9526,10345,Mawlaik,MMR005031
 Urban,90,1852,1942,Phaungpyin,MMR005032
 Rural,762,17542,18304,Phaungpyin,MMR005032
 Total,852,19394,20246,Phaungpyin,MMR005032
 Urban,136,2047,2183,Hkamti,MMR005033
 Rural,1041,4137,5178,Hkamti,MMR005033
 Total,1177,6184,7361,Hkamti,MMR005033
 Urban,123,3452,3575,Homalin,MMR005034
 Rural,2329,29839,32168,Homalin,MMR005034
 Total,2452,33291,35743,Homalin,MMR005034
 Urban,-,253,253,Leshi,MMR005035
 Rural,24,1379,1403,Leshi,MMR005035
 Total,24,1632,1656,Leshi,MMR005035
 Urban,-,538,538,Lahe,MMR005036
 Rural,13,6426,6439,Lahe,MMR005036
 Total,13,6964,6977,Lahe,MMR005036
 Urban,1,374,375,Nanyun,MMR005037
 Rural,54,1139,1193,Nanyun,MMR005037
 Total,55,1513,1568,Nanyun,MMR005037
 Urban,9,201,210,Mobaingluk(ST),MMR005035
 Rural,-,100,100,Mobaingluk(ST),MMR005035
 Total,9,301,310,Mobaingluk(ST),MMR005035
 Urban,-,286,286,Sonemara(ST),MMR005035
 Rural,-,908,908,Sonemara(ST),MMR005035
 Total,-,1194,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,-,633,633,Htanparkway(ST),MMR005036
 Total,-,761,761,Htanparkway(ST),MMR005036
 Urban,-,338,338,Pansaung(ST),MMR005037
 Rural,1,2010,2011,Pansaung(ST),MMR005037
 Total,1,2348,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,1,3753,3754,Donhee(ST),MMR005037
 Total,1,3922,3923,Donhee(ST),MMR005037
 Urban,1,1076,1077,Yinmarpin,MMR005016
 Rural,117,28338,28455,Yinmarpin,MMR005016
 Total,118,29414,29532,Yinmarpin,MMR005016
 Urban,-,1222,1222,Salingyi,MMR005018
 Rural,295,24950,25245,Salingyi,MMR005018
 Total,295,26172,26467,Salingyi,MMR005018
 Urban,-,931,931,Palae,MMR005019
 Rural,23,31408,31431,Palae,MMR005019
 Total,23,32339,32362,Palae,MMR005019
 Urban,10,1128,1138,Kani,MMR005017
 Rural,442,27643,28085,Kani,MMR005017
 Total,452,28771,29223,Kani,MMR005017
 Urban,140,15242,15382,Dawei,MMR006001
 Rural,176,9385,9561,Dawei,MMR006001
 Total,316,24627,24943,Dawei,MMR006001
 Urban,10,1230,1240,Lounglon,MMR006002
 Rural,1430,23065,24495,Lounglon,MMR006002
 Total,1440,24295,25735,Lounglon,MMR006002
 Urban,57,2350,2407,Thayetchaung,MMR006003
 Rural,765,19702,20467,Thayetchaung,MMR006003
 Total,822,22052,22874,Thayetchaung,MMR006003
 Urban,14,1063,1077,Yebyu,MMR006004
 Rural,850,20146,20996,Yebyu,MMR006004
 Total,864,21209,22073,Yebyu,MMR006004
 Urban,87,409,496,Myitta(ST),MMR006001
 Rural,61,3633,3694,Myitta(ST),MMR006001
 Total,148,4042,4190,Myitta(ST),MMR006001
 Urban,7,617,624,Kaleinaung(ST),MMR006004
 Rural,65,3588,3653,Kaleinaung(ST),MMR006004
 Total,72,4205,4277,Kaleinaung(ST),MMR006004
 Urban,566,20982,21548,Myeik,MMR006005
 Rural,1658,31143,32801,Myeik,MMR006005
 Total,2224,52125,54349,Myeik,MMR006005
 Urban,100,1042,1142,Kyunsu,MMR006006
 Rural,8088,23758,31846,Kyunsu,MMR006006
 Total,8188,24800,32988,Kyunsu,MMR006006
 Urban,313,3258,3571,Palaw,MMR006007
 Rural,1251,13703,14954,Palaw,MMR006007
 Total,1564,16961,18525,Palaw,MMR006007
 Urban,35,1091,1126,Tanintharyi,MMR006008
 Rural,1308,17495,18803,Tanintharyi,MMR006008
 Total,1343,18586,19929,Tanintharyi,MMR006008
 Urban,8,1203,1211,Palauk(ST),MMR006007
 Rural,415,5502,5917,Palauk(ST),MMR006007
 Total,423,6705,7128,Palauk(ST),MMR006007
 Urban,485,12095,12580,Kawthoung,MMR006009
 Rural,1361,11540,12901,Kawthoung,MMR006009
 Total,1846,23635,25481,Kawthoung,MMR006009
 Urban,47,1000,1047,Bokepyin,MMR006010
 Rural,1837,5992,7829,Bokepyin,MMR006010
 Total,1884,6992,8876,Bokepyin,MMR006010
 Urban,20,2335,2355,Khamaukgyi,MMR006009
 Rural,193,2317,2510,Khamaukgyi,MMR006009
 Total,213,4652,4865,Khamaukgyi,MMR006009
 Urban,52,663,715,Pyigyimandaing,MMR006010
 Rural,501,1888,2389,Pyigyimandaing,MMR006010
 Total,553,2551,3104,Pyigyimandaing,MMR006010
 Urban,13,273,286,Karathuri(ST),MMR006010
 Rural,600,2876,3476,Karathuri(ST),MMR006010
 Total,613,3149,3762,Karathuri(ST),MMR006010
 Urban,61,54831,54892,Bago,MMR007001
 Rural,475,51765,52240,Bago,MMR007001
 Total,536,106596,107132,Bago,MMR007001
 Urban,27,3602,3629,Tanatpin,MMR007002
 Rural,2861,26037,28898,Tanatpin,MMR007002
 Total,2888,29639,32527,Tanatpin,MMR007002
 Urban,70,4184,4254,Kawa,MMR007003
 Rural,2835,38986,41821,Kawa,MMR007003
 Total,2905,43170,46075,Kawa,MMR007003
 Urban,37,5009,5046,Waw,MMR007004
 Rural,1652,30385,32037,Waw,MMR007004
 Total,1689,35394,37083,Waw,MMR007004
 Urban,96,12966,13062,Nyaunglebin,MMR007005
 Rural,642,31058,31700,Nyaunglebin,MMR007005
 Total,738,44024,44762,Nyaunglebin,MMR007005
 Urban,-,6873,6873,Kyauktaga,MMR007006
 Rural,133,44642,44775,Kyauktaga,MMR007006
 Total,133,51515,51648,Kyauktaga,MMR007006
 Urban,39,8701,8740,Daik U,MMR007007
 Rural,1198,35815,37013,Daik U,MMR007007
 Total,1237,44516,45753,Daik U,MMR007007
 Urban,147,4718,4865,Shwegyin,MMR007008
 Rural,510,16407,16917,Shwegyin,MMR007008
 Total,657,21125,21782,Shwegyin,MMR007008
 Urban,7,21893,21900,Toungoo,MMR007009
 Rural,109,35451,35560,Toungoo,MMR007009
 Total,116,57344,57460,Toungoo,MMR007009
 Urban,4,5951,5955,Yaedashe,MMR007010
 Rural,96,44476,44572,Yaedashe,MMR007010
 Total,100,50427,50527,Yaedashe,MMR007010
 Urban,-,2258,2258,Kyaukkyi,MMR007011
 Rural,60,20565,20625,Kyaukkyi,MMR007011
 Total,60,22823,22883,Kyaukkyi,MMR007011
 Urban,28,13799,13827,Pyu,MMR007012
 Rural,202,40902,41104,Pyu,MMR007012
 Total,230,54701,54931,Pyu,MMR007012
 Urban,5,3204,3209,Oatwin,MMR007013
 Rural,196,33465,33661,Oatwin,MMR007013
 Total,201,36669,36870,Oatwin,MMR007013
 Urban,4,2372,2376,Htantapin,MMR007014
 Rural,69,24336,24405,Htantapin,MMR007014
 Total,73,26708,26781,Htantapin,MMR007014
 Urban,35,28780,28815,Pyay,MMR008001
 Rural,43,29699,29742,Pyay,MMR008001
 Total,78,58479,58557,Pyay,MMR008001
 Urban,-,3606,3606,Paukkhaung,MMR008002
 Rural,158,28583,28741,Paukkhaung,MMR008002
 Total,158,32189,32347,Paukkhaung,MMR008002
 Urban,19,4449,4468,Padaung,MMR008003
 Rural,277,34147,34424,Padaung,MMR008003
 Total,296,38596,38892,Padaung,MMR008003
 Urban,2,6479,6481,Paunde,MMR008004
 Rural,133,30086,30219,Paunde,MMR008004
 Total,135,36565,36700,Paunde,MMR008004
 Urban,4,4262,4266,Thegon,MMR008005
 Rural,60,31624,31684,Thegon,MMR008005
 Total,64,35886,35950,Thegon,MMR008005
 Urban,20,4498,4518,Shwedaung,MMR008006
 Rural,189,28857,29046,Shwedaung,MMR008006
 Total,209,33355,33564,Shwedaung,MMR008006
 Urban,7,8157,8164,Tharyarwaddy,MMR008007
 Rural,387,28075,28462,Tharyarwaddy,MMR008007
 Total,394,36232,36626,Tharyarwaddy,MMR008007
 Urban,1,5734,5735,Letpadan,MMR008008
 Rural,400,37349,37749,Letpadan,MMR008008
 Total,401,43083,43484,Letpadan,MMR008008
 Urban,2,2700,2702,Minhla,MMR009013
 Rural,47,28145,28192,Minhla,MMR009013
 Total,49,30845,30894,Minhla,MMR009013
 Urban,-,2800,2800,Okpo,MMR008010
 Rural,60,29034,29094,Okpo,MMR008010
 Total,60,31834,31894,Okpo,MMR008010
 Urban,3,3964,3967,Zigon,MMR008011
 Rural,10,14233,14243,Zigon,MMR008011
 Total,13,18197,18210,Zigon,MMR008011
 Urban,1,4641,4642,Nattalin,MMR008012
 Rural,172,40955,41127,Nattalin,MMR008012
 Total,173,45596,45769,Nattalin,MMR008012
 Urban,3,2377,2380,Monyo,MMR008013
 Rural,493,30414,30907,Monyo,MMR008013
 Total,496,32791,33287,Monyo,MMR008013
 Urban,-,5584,5584,Gyobingauk,MMR008014
 Rural,48,24954,25002,Gyobingauk,MMR008014
 Total,48,30538,30586,Gyobingauk,MMR008014
 Urban,32,19838,19870,Magway,MMR009001
 Rural,212,48595,48807,Magway,MMR009001
 Total,244,68433,68677,Magway,MMR009001
 Urban,22,10654,10676,Yenangyoung,MMR009002
 Rural,239,21585,21824,Yenangyoung,MMR009002
 Total,261,32239,32500,Yenangyoung,MMR009002
 Urban,27,10374,10401,Chauk,MMR009003
 Rural,304,33913,34217,Chauk,MMR009003
 Total,331,44287,44618,Chauk,MMR009003
 Urban,5,10050,10055,Taungdwingyi,MMR009004
 Rural,11,50197,50208,Taungdwingyi,MMR009004
 Total,16,60247,60263,Taungdwingyi,MMR009004
 Urban,1,1745,1746,Myothit,MMR009005
 Rural,9,35193,35202,Myothit,MMR009005
 Total,10,36938,36948,Myothit,MMR009005
 Urban,1,3173,3174,Natmauk,MMR009006
 Rural,16,45236,45252,Natmauk,MMR009006
 Total,17,48409,48426,Natmauk,MMR009006
 Urban,42,9148,9190,Minbu,MMR009007
 Rural,116,34511,34627,Minbu,MMR009007
 Total,158,43659,43817,Minbu,MMR009007
 Urban,3,1451,1454,Pwint Phyu,MMR009008
 Rural,182,38128,38310,Pwint Phyu,MMR009008
 Total,185,39579,39764,Pwint Phyu,MMR009008
 Urban,-,979,979,Ngape,MMR009009
 Rural,21,11457,11478,Ngape,MMR009009
 Total,21,12436,12457,Ngape,MMR009009
 Urban,-,2786,2786,Salin,MMR009010
 Rural,228,52591,52819,Salin,MMR009010
 Total,228,55377,55605,Salin,MMR009010
 Urban,9,1516,1525,Saytottara,MMR009011
 Rural,164,9091,9255,Saytottara,MMR009011
 Total,173,10607,10780,Saytottara,MMR009011
 Urban,23,4540,4563,Thayet,MMR009012
 Rural,200,21209,21409,Thayet,MMR009012
 Total,223,25749,25972,Thayet,MMR009012
 Urban,11,2970,2981,Minhla,MMR009013
 Rural,67,28574,28641,Minhla,MMR009013
 Total,78,31544,31622,Minhla,MMR009013
 Urban,8,1262,1270,Mindon,MMR009014
 Rural,45,15494,15539,Mindon,MMR009014
 Total,53,16756,16809,Mindon,MMR009014
 Urban,21,1273,1294,Kamma,MMR009015
 Rural,109,17740,17849,Kamma,MMR009015
 Total,130,19013,19143,Kamma,MMR009015
 Urban,25,11600,11625,Aunglan,MMR009016
 Rural,228,45756,45984,Aunglan,MMR009016
 Total,253,57356,57609,Aunglan,MMR009016
 Urban,15,1266,1281,Sinpaungwe`,MMR009017
 Rural,244,27159,27403,Sinpaungwe`,MMR009017
 Total,259,28425,28684,Sinpaungwe`,MMR009017
 Urban,29,19040,19069,Pakokku,MMR009018
 Rural,589,46682,47271,Pakokku,MMR009018
 Total,618,65722,66340,Pakokku,MMR009018
 Urban,45,4854,4899,Yesagyo,MMR009019
 Rural,678,41755,42433,Yesagyo,MMR009019
 Total,723,46609,47332,Yesagyo,MMR009019
 Urban,-,1801,1801,Myaing,MMR009020
 Rural,17,51823,51840,Myaing,MMR009020
 Total,17,53624,53641,Myaing,MMR009020
 Urban,-,1701,1701,Pauk,MMR009021
 Rural,39,37225,37264,Pauk,MMR009021
 Total,39,38926,38965,Pauk,MMR009021
 Urban,26,2103,2129,Seikphyu,MMR009022
 Rural,37,21261,21298,Seikphyu,MMR009022
 Total,63,23364,23427,Seikphyu,MMR009022
 Urban,2,3256,3258,Gangaw,MMR009023
 Rural,78,26576,26654,Gangaw,MMR009023
 Total,80,29832,29912,Gangaw,MMR009023
 Urban,-,1123,1123,Htilin,MMR009024
 Rural,2,9407,9409,Htilin,MMR009024
 Total,2,10530,10532,Htilin,MMR009024
 Urban,2,1259,1261,Saw,MMR009025
 Rural,11,7053,7064,Saw,MMR009025
 Total,13,8312,8325,Saw,MMR009025
 Urban,-,1140,1140,Kyaukhtu(ST),MMR009025
 Rural,1,6468,6469,Kyaukhtu(ST),MMR009025
 Total,1,7608,7609,Kyaukhtu(ST),MMR009025
 Urban,54,49677,49731,Aungmyetharzan,MMR010001
 Total,54,49677,49731,Aungmyetharzan,MMR010001
 Urban,27,33254,33281,Chanayeharzan,MMR010002
 Total,27,33254,33281,Chanayeharzan,MMR010002
