Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,27,8722,8749,Hlegu,MMR013004
 Rural,632,48642,49274,Hlegu,MMR013004
 Total,659,57364,58023,Hlegu,MMR013004
