Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,2651,2652,Tada U,MMR010016
 Rural,116,29859,29975,Tada U,MMR010016
 Total,117,32510,32627,Tada U,MMR010016
