Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,27,6729,6756,Thongwa,MMR013025
 Rural,796,32535,33331,Thongwa,MMR013025
 Total,823,39264,40087,Thongwa,MMR013025
