Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,152,7364,7516,Kyaikto,MMR011009
 Rural,588,29984,30572,Kyaikto,MMR011009
 Total,740,37348,38088,Kyaikto,MMR011009
