Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,9013,9013,Kyaukpadaung,MMR010020
 Rural,16,52932,52948,Kyaukpadaung,MMR010020
 Total,16,61945,61961,Kyaukpadaung,MMR010020
