Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,2853,2853,Loilem,MMR014011
 Rural,-,8048,8048,Loilem,MMR014011
 Total,-,10901,10901,Loilem,MMR014011
