Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,2,5940,5942,Hmawby,MMR013003
 Rural,383,50144,50527,Hmawby,MMR013003
 Total,385,56084,56469,Hmawby,MMR013003
