Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,4,2310,2314,Maungtaw,MMR012009
 Rural,13,5063,5076,Maungtaw,MMR012009
 Total,17,7373,7390,Maungtaw,MMR012009
