Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,57,41584,41641,Mingaladon,MMR013002
 Rural,36,24626,24662,Mingaladon,MMR013002
 Total,93,66210,66303,Mingaladon,MMR013002
