Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,150,6028,6178,Toungup,MMR012016
 Rural,1956,17105,19061,Toungup,MMR012016
 Total,2106,23133,25239,Toungup,MMR012016
