Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,72,429,501,Pyinsalu(ST),MMR017016
 Rural,2899,17037,19936,Pyinsalu(ST),MMR017016
 Total,2971,17466,20437,Pyinsalu(ST),MMR017016
