Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,427,427,Tontar(ST),MMR016007
 Rural,-,2267,2267,Tontar(ST),MMR016007
 Total,-,2694,2694,Tontar(ST),MMR016007
