Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,68,103739,103807,Hlinethaya,MMR013008
 Rural,82,44822,44904,Hlinethaya,MMR013008
 Total,150,148561,148711,Hlinethaya,MMR013008
