Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,75,9062,9137,Maubin,MMR017019
 Rural,6089,56578,62667,Maubin,MMR017019
 Total,6164,65640,71804,Maubin,MMR017019
