Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,23,9079,9102,Kengtung,MMR016001
 Rural,11,24983,24994,Kengtung,MMR016001
 Total,34,34062,34096,Kengtung,MMR016001
