Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,7300,7300,Wundwin,MMR010031
 Rural,13,46256,46269,Wundwin,MMR010031
 Total,13,53556,53569,Wundwin,MMR010031
