Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,8,14448,14456,Pyinmana,MMR018006
 Rural,13,25194,25207,Pyinmana,MMR018006
 Total,21,39642,39663,Pyinmana,MMR018006
