Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,1119,1119,Minetung,MMR016008
 Rural,3,3136,3139,Minetung,MMR016008
 Total,3,4255,4258,Minetung,MMR016008
